#Strand_gene_id	ChrName	Strand	Gene_start	Gene_end	Symbol	Entrez_id
USP42-7-1	chr7	+	6078743	6161564	USP42	84132
YTHDF3-8-1	chr8	+	63168553	63212788	YTHDF3	253943
WDR73-15-1	chr15	-	84641495	84654343	WDR73	84942
C3ORF72-3-1	chr3	+	138947234	138953992	FOXL2NB	401089
ACTL7B-9-1	chr9	-	108854588	108855995	ACTL7B	10880
CENPE-4-1	chr4	-	103105806	103198409	CENPE	1062
PGBD4-15-1	chr15	+	34102073	34104390	PGBD4	161779
LINC01375-10-1	chr10	-	89915489	89957373	LINC01375	101926924
SNORD36A-9-1	chr9	+	133350456	133350527	SNORD36A	26815
AAAS-12-1	chr12	-	53307456	53321628	AAAS	8086
LOC158960-23-1	chrX	-	154424380	154428479	CH17-340M24.3	158960
RNF166-16-1	chr16	-	88696495	88706421	RNF166	115992
ZNF639-3-1	chr3	+	179322910	179335535	ZNF639	51193
CCL17-16-1	chr16	+	57396076	57416063	CCL17	6361
MAP3K5-6-1	chr6	-	136557046	136793098	MAP3K5	4217
PDE4C-19-1	chr19	-	18207961	18248200	PDE4C	5143
FAM161A-2-1	chr2	-	61800240	61854143	FAM161A	84140
PVT1-8-1	chr8	+	127794533	128101253	PVT1	5820
LOC100506603-14-1	chr14	-	76781733	76786724	VASH1-AS1	100506603
TTC40-10-1	chr10	-	132808392	132942585	CFAP46	54777
DRD2-11-1	chr11	-	113409595	113475279	DRD2	1813
MIR8084-8-1	chr8	+	93029751	93029839	MIR8084	102467005
LLPH-12-1	chr12	-	66123069	66130753	LLPH	84298
FAT4-4-1	chr4	+	125314913	125492932	FAT4	79633
LINC00634-22-1	chr22	+	41952187	41958942	LINC00634	339674
LRRC73-6-1	chr6	-	43506965	43510343	LRRC73	221424
LINC02551-11-1	chr11	-	130844193	130862110	LINC02551	100507431
SGPP1-14-1	chr14	-	63684216	63728108	SGPP1	81537
MIR145-5-1	chr5	+	149430646	149430733	MIR145	406937
CHTF18-16-1	chr16	+	788622	798074	CHTF18	63922
ZNF417-19-1	chr19	-	57905411	57916616	ZNF417	147687
OC90-8-1	chr8	-	132024220	132059380	OC90	729330
